"Story","Title","Result","Date","Stability","Duration (s)"
"CRUD test","create token","SUCCESS","2023-08-07T09:49:42.495+01:00[Europe/London]","0.0","4.09"
"CRUD test","Get All booking Id","SUCCESS","2023-08-07T09:49:46.611+01:00[Europe/London]","0.0","0.75"
"CRUD test","Create booking ","SUCCESS","2023-08-07T09:49:47.361+01:00[Europe/London]","0.0","0.63"
"CRUD test","Get user by single Id","SUCCESS","2023-08-07T09:49:47.988+01:00[Europe/London]","0.0","0.57"
"CRUD test","update booking ","SUCCESS","2023-08-07T09:49:48.562+01:00[Europe/London]","0.0","1.08"
"CRUD test","Delete booking","SUCCESS","2023-08-07T09:49:49.647+01:00[Europe/London]","0.0","0.97"
